
HOMER,-0.918719,-0.0863768,0.428797,0.503944,0.493794,-0.509379,0.492687
HOMER,-0.918733,-0.0864132,0.428799,0.503944,0.493799,-0.509401,0.49266
HOMER,-0.91869,-0.0863261,0.428972,0.503939,0.493699,-0.509332,0.492837
HOMER,-0.918725,-0.0864042,0.428796,0.50394,0.493791,-0.509392,0.492681
HOMER,-0.918702,-0.0862918,0.42897,0.503924,0.493705,-0.50934,0.492837
HOMER,-0.918688,-0.0862635,0.428948,0.503877,0.493736,-0.509417,0.492776
HOMER,-0.918703,-0.0862315,0.428966,0.50392,0.493709,-0.509351,0.492827
HOMER,-0.91873,-0.0863608,0.428827,0.504008,0.493777,-0.509348,0.492671
HOMER,-0.918625,-0.0862967,0.429257,0.504049,0.493523,-0.509196,0.493041
HOMER,-0.918787,-0.0864361,0.428748,0.503914,0.493796,-0.50949,0.492601
HOMER,-0.918693,-0.0863527,0.428949,0.503965,0.493708,-0.509316,0.492817
HOMER,-0.918695,-0.0863609,0.429,0.503959,0.493684,-0.50932,0.492843
HOMER,-0.918693,-0.0863079,0.428985,0.503945,0.493699,-0.509306,0.492858
HOMER,-0.9187,-0.0862745,0.428995,0.503954,0.493688,-0.509305,0.492861
HOMER,-0.918673,-0.0862555,0.428959,0.503893,0.493738,-0.509379,0.492796
HOMER,-0.918699,-0.0863308,0.428792,0.503934,0.493809,-0.509368,0.492694
HOMER,-0.918713,-0.0863362,0.428773,0.503937,0.493824,-0.509365,0.492679
HOMER,-0.918717,-0.0863388,0.4288,0.503908,0.493806,-0.509423,0.492667
HOMER,-0.918727,-0.0863896,0.428784,0.503948,0.493787,-0.509386,0.492683
HOMER,-0.918674,-0.0863448,0.428959,0.503953,0.493743,-0.509297,0.492815
HOMER,-0.918681,-0.0863672,0.428972,0.503963,0.493732,-0.509298,0.492814
HOMER,-0.918707,-0.0864337,0.42879,0.503926,0.493849,-0.509432,0.492596
HOMER,-0.918737,-0.0863961,0.428737,0.503985,0.493825,-0.509384,0.49261
HOMER,-0.918736,-0.0863857,0.428684,0.503912,0.493885,-0.509477,0.492528
HOMER,-0.918662,-0.0862339,0.42896,0.503872,0.493744,-0.509388,0.492803
HOMER,-0.918679,-0.0862482,0.428954,0.50393,0.493721,-0.509307,0.49285
HOMER,-0.918608,-0.0862667,0.429239,0.50393,0.493538,-0.509305,0.493034
HOMER,-0.918673,-0.0862807,0.428948,0.503901,0.493737,-0.509365,0.492804
HOMER,-0.918689,-0.0862954,0.428998,0.503928,0.493689,-0.509333,0.492857
HOMER,-0.918675,-0.0862964,0.429002,0.503938,0.493707,-0.509305,0.492857
HOMER,-0.918689,-0.0862875,0.429028,0.503955,0.493675,-0.509307,0.49287
HOMER,-0.918697,-0.086363,0.428787,0.503876,0.493823,-0.509459,0.492645
HOMER,-0.918704,-0.0863231,0.428817,0.503943,0.493777,-0.509371,0.492714
HOMER,-0.91869,-0.0862335,0.428993,0.503936,0.493683,-0.509325,0.492863
HOMER,-0.918727,-0.0863477,0.428802,0.503942,0.493772,-0.509391,0.492699
HOMER,-0.918712,-0.0863911,0.428762,0.503937,0.493839,-0.509379,0.49265
HOMER,-0.918707,-0.08641,0.428835,0.50396,0.493763,-0.509364,0.492717
HOMER,-0.918689,-0.0863512,0.428995,0.503943,0.493702,-0.50933,0.492832
HOMER,-0.918713,-0.0863975,0.428844,0.503954,0.493779,-0.50937,0.492701
HOMER,-0.918674,-0.0862842,0.429013,0.503909,0.493707,-0.509372,0.492818
HOMER,-0.918727,-0.0863609,0.42887,0.504024,0.493751,-0.509333,0.492695
HOMER,-0.91872,-0.0863768,0.428812,0.504036,0.493775,-0.509332,0.492661
