0,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.9968,-0.057637,0.057825
0.05,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99663,-0.060456,0.060654
0.1,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99646,-0.063275,0.063482
0.15,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99627,-0.066093,0.066311
0.2,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99607,-0.068911,0.069139
0.25,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99587,-0.071727,0.071967
0.3,1,0,0,0,1,0,0,0,1,-0.99565,-0.074544,0.074795
0.35,1,0,0,0,1,0,0,0,1,-0.99543,-0.077359,0.077623
0.4,1,0,0,0,1,0,0,0,1,-0.9952,-0.080174,0.080451
0.45,1,0,0,0,1,0,0,0,1,-0.99496,-0.082989,0.08328
0.5,1,0,0,0,1,0,0,0,1,-0.99472,-0.085803,0.086108
0.55,1,0,0,0,1,0,0,0,1,-0.99446,-0.088616,0.088937
0.6,1,0,0,0,1,0,0,0,1,-0.99421,-0.091429,0.091765
0.65,1,0,0,0,1,0,0,0,1,-0.99394,-0.094241,0.094594
0.7,1,0,0,0,1,0,0,0,1,-0.99368,-0.097052,0.097423
0.75,1,0,0,0,1,0,0,0,1,-0.9934,-0.099863,0.10025
0.8,1,0,0,0,1,0,0,0,1,-0.99312,-0.10267,0.10308
0.85,1,0,0,0,1,0,0,0,1,-0.99284,-0.10548,0.10591
0.9,1,0,0,0,1,0,0,0,1,-0.99255,-0.10829,0.10874
0.95,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99226,-0.1111,0.11157
1,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99196,-0.11391,0.1144
1.05,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99165,-0.11671,0.11723
1.1,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.99134,-0.11952,0.12007
1.15,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.99102,-0.12233,0.1229
1.2,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.99069,-0.12513,0.12573
1.25,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.99036,-0.12793,0.12856
1.3,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.99002,-0.13074,0.13139
1.35,1.0003,0,0,0,1.0003,0,0,0,1.0003,-0.98966,-0.13354,0.13422
1.4,1.0003,0,0,0,1.0003,0,0,0,1.0003,-0.98929,-0.13634,0.13705
1.45,1.0003,0,0,0,1.0003,0,0,0,1.0003,-0.98889,-0.13913,0.13988
1.5,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.98847,-0.14193,0.14271
1.55,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.98804,-0.14472,0.14553
1.6,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.98759,-0.14751,0.14835
1.65,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.98713,-0.1503,0.15118
1.7,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.98666,-0.15308,0.154
1.75,1,0,0,0,1,0,0,0,1,-0.98618,-0.15587,0.15682
1.8,0.99998,0,0,0,0.99998,0,0,0,0.99998,-0.9857,-0.15865,0.15965
1.85,0.99995,0,0,0,0.99995,0,0,0,0.99995,-0.98521,-0.16144,0.16247
1.9,0.99991,0,0,0,0.99991,0,0,0,0.99991,-0.98472,-0.16422,0.1653
1.95,0.99989,0,0,0,0.99989,0,0,0,0.99989,-0.98423,-0.167,0.16812
2,0.99987,0,0,0,0.99987,0,0,0,0.99987,-0.98373,-0.16978,0.17095
2.05,0.99986,0,0,0,0.99986,0,0,0,0.99986,-0.98324,-0.17257,0.17378
2.1,0.99985,0,0,0,0.99985,0,0,0,0.99985,-0.98274,-0.17535,0.17661
2.15,0.99986,0,0,0,0.99986,0,0,0,0.99986,-0.98225,-0.17813,0.17944
2.2,0.99988,0,0,0,0.99988,0,0,0,0.99988,-0.98176,-0.18091,0.18227
2.25,0.9999,0,0,0,0.9999,0,0,0,0.9999,-0.98126,-0.18369,0.1851
2.3,0.99993,0,0,0,0.99993,0,0,0,0.99993,-0.98077,-0.18647,0.18793
2.35,0.99997,0,0,0,0.99997,0,0,0,0.99997,-0.98027,-0.18925,0.19077
2.4,1,0,0,0,1,0,0,0,1,-0.97978,-0.19203,0.19361
2.45,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.97928,-0.19481,0.19644
2.5,1.0001,0,0,0,1.0001,0,0,0,1.0001,-0.97878,-0.19758,0.19928
2.55,1.0002,0,0,0,1.0002,0,0,0,1.0002,-0.97827,-0.20036,0.20212
2.6,1.0003,0,0,0,1.0003,0,0,0,1.0003,-0.97776,-0.20313,0.20496
2.65,1.0003,0,0,0,1.0003,0,0,0,1.0003,-0.97724,-0.20591,0.2078
2.7,1.0004,0,0,0,1.0004,0,0,0,1.0004,-0.97671,-0.20868,0.21064
2.75,1.0005,0,0,0,1.0005,0,0,0,1.0005,-0.97617,-0.21145,0.21348
2.8,1.0005,0,0,0,1.0005,0,0,0,1.0005,-0.97562,-0.21422,0.21632
2.85,1.0005,0,0,0,1.0005,0,0,0,1.0005,-0.97503,-0.21698,0.21915
2.9,1.0005,0,0,0,1.0005,0,0,0,1.0005,-0.97441,-0.21974,0.22198
2.95,1.0005,0,0,0,1.0005,0,0,0,1.0005,-0.97375,-0.22249,0.2248
3,1.0004,0,0,0,1.0004,0,0,0,1.0004,-0.97307,-0.22523,0.22762
